"","ObjectID","GlobalID","Form_Version","Team.Name","Region","Incident_UUID","Incident.Number","Type.of.Incident","Incident.Start.Date.and.Time","Number.of.Operational.Periods","Primary.Response.Area","Number.of.Volunteers.Supporting.the.Incident","Total.Volunteer.Hours.on.the.Incident","Total.Volunteer.Mileage","Aircraft.Used","Area.Type","Land.Ownership","Total.Number.of.Subjects","Subject.Category","Subject.1..Age","Subject.1..Gender","Subject.1..Level.of.Fitness","Subject.1..Level.of.Experience","Number.of.Subjects.Found.Alive.and.Well","x","y"
"1912",8022,"d597a7b4-d25a-4584-aab1-65bc05a5c700","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","3447026b-2d34-4140-9d9d-5937d6a3df30","20P013578 Buckskin/Snowmass Creek ","MEDICAL_AID","8/1/2020 3:45:00 PM",1,"YES",12,41,30,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"HIKING",18,"MALE","UNKNOWN","UNKNOWN",0,-107.0148,39.1082000000001
"1923",20994,"d5aace80-fa7e-4b1e-86d2-5212d7fc9a16","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","21464c03-d394-4d07-bdac-c123bd7eeca5","2022068","RESCUE","6/18/2022 8:28:00 PM",1,"YES",11,14,440,"","WILDERNESS","STATE",1,"HIKING",22,"MALE","","",1,-105.294165149382,39.9307251111443
"1928",21006,"a16d01e1-e02a-40ca-83eb-8c2552b447c2","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","4ea54c95-b1b2-4d65-a65c-932ac69974e3","2022079","RESCUE","7/3/2022 5:31:00 PM",1,"YES",9,29,36,"","WILDERNESS","CITY",2,"CLIMBING",23,"MALE","","",2,-105.29300320674,39.9917261138329
"1985",3588,"adc1639a-de1a-445a-85ad-350c7f42f8a9","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","51518feb-96f4-4f8b-bdc2-32b72be8c83f","220904 Rolling Ck Medical","RESCUE","9/5/2022 5:15:00 AM",1,"NO",5,31,120,"","WILDERNESS","NATIONAL_FOREST",1,"CAMPING",27,"FEMALE","UNKNOWN","UNKNOWN",0,-105.395,39.315
"1986",7867,"8447b137-5948-4b88-8fc0-7f76a5dc1e9b","2.1.1-MRA","Park_County_SAR","Rocky Mountain Region","a71fae02-8b31-44d2-83d2-8decdce2c999","Rich Creek Blown Knee","RESCUE","6/3/2020 6:00:00 AM",1,"YES",11,11,120,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",41,"FEMALE","GOOD","FAIR",0,-106.1229,39.0668000000001
"2008",20851,"11eb86b2-5cff-45ae-8da3-04e15fb2e67d","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","e7df56fc-53bc-47db-a152-a8790d35f1e7","Missing 20YOM Tuber","SEARCH","6/5/2022 12:27:00 AM",1,"YES",13,23,390,"","SUBURBAN","CITY",1,"OTHER",20,"MALE","UNKNOWN","UNKNOWN",1,-105.07975,40.59875
"2032",3605,"13dc74ac-8a37-4a5f-8906-90e19c3b2dfe","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","b38ca81a-1a35-4725-9866-82954b78be34","2022022","RESCUE","4/16/2022 8:37:00 PM",1,"YES",13,13,91,"","WILDERNESS","CITY",1,"JOGGER/RUNNER",56,"MALE","","",0,-105.284459171906,39.9798355902545
"2138",1238,"49424ca3-2b6f-4469-874f-d0cafd663fa2","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","4c6cca5a-1ad4-4608-9724-46f8fa49093f","20210905 Buffalo Peak Overdue Hiker","SEARCH","9/6/2021 1:42:00 AM",1,"YES",1,1,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",51,"MALE","GOOD","GOOD",1,-106.1043,39.03077
"2151",3645,"9524bbc7-9f09-45d2-86a7-9099fab74c46","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","13e9b705-14d1-4ff1-a815-15be071ecaba","2022059","RESCUE","6/11/2022 2:39:00 AM",1,"YES",11,19,220,"","WILDERNESS","NATIONAL_FOREST",1,"CLIMBING",30,"MALE","","",0,-105.393786881523,40.0031868128923
"2184",5148,"2f47f5f6-ac28-4e2d-a307-ad88eb07c2fb","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","D7059189-8FEF-4B23-9290-A3289CB950DB","00551","RESCUE","6/22/2018 7:00:00 PM",1,"YES",4,12,40,"","WILDERNESS","NATIONAL_FOREST",2,"FOUR_WHEEL_DRIVING",32,"MALE","GOOD","FAIR",2,-106.50194,39.70417
"2283",20725,"19adc1e9-d072-4d60-8cd8-154ac5bb28f2","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","c0a25b8e-ff26-466b-b7e1-c56d77784da3","Greyrock Injured Hiker Carryout","RESCUE","1/7/2021 8:02:00 PM",1,"YES",14,56,462,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"HIKING",71,"MALE","UNKNOWN","UNKNOWN",0,-105.28936,40.71756
"2284",20848,"47389bd6-45e3-4b56-8bab-d932e576c276","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","297bbcb7-a512-44c4-866a-ac8b81a09cd0","Lost Woman and Dog on Greyrock","SEARCH","5/5/2022 8:48:00 PM",1,"YES",7,63,245,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",29,"FEMALE","UNKNOWN","UNKNOWN",1,-105.28387,40.69498
"2335",4100,"60cd0092-52c6-4e59-a2be-be9199a4b7e3","","Fremont_SAR","Rocky Mountain Region","417ADDAA-A286-424B-8054-1F27B7D444CA","2018-02","RESCUE","1/20/2018 12:00:00 AM",1,"YES",14,44,280,"","WILDERNESS","STATE",1,"HIKING",60,"MALE","FAIR","FAIR",1,-105.23696,38.31494
"2489",1183,"2df9c4a7-12da-494f-8212-43ba248d17a8","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","e7ad426b-3989-44e1-bd19-477d9eb0ee5f","21P010839 4-Pass Overdue","SEARCH","8/13/2021 12:30:00 AM",2,"YES",12,43,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",21,"MALE","POOR","POOR",1,-106.94191,39.09878
"2490",7432,"3f1ad33c-a95c-46e0-bc98-51b29d436e84","","Park_County_SAR","Rocky Mountain Region","C6237469-C5C5-4EA0-8D11-0F50F665801B","Pinto Tral Runaway","SEARCH","6/12/2019 2:56:00 AM",1,"YES",12,108,360,"","RURAL","PRIVATE",1,"RUNAWAY",16,"MALE","FAIR","POOR",1,-105.77505,39.2239200000001
"2503",7426,"4a046c49-aead-4353-9a24-29404f101f99","","Park_County_SAR","Rocky Mountain Region","97C79947-4115-4691-83B6-4DC66E6F957A","Boreas","RESCUE","3/27/2019 1:00:00 AM",1,"YES",10,47,152,"","WILDERNESS","NATIONAL_FOREST",5,"SNOW_SHOEING",38,"FEMALE","GOOD","FAIR",5,-105.93968,39.36785
"2571",6284,"f5461dbb-6210-4cf6-bc41-e3bb3379a337","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","4b533422-5836-4bad-84b1-974605bf9bc9","2019.05.26 Fish Creek Trail","RECOVERY","5/26/2019 7:06:00 AM",1,"YES",9,85,900,"","WILDERNESS","NATIONAL_FOREST",1,"CAMPING",35,"MALE","UNKNOWN","UNKNOWN",0,-105.553804944,40.612016082
"2614",4607,"7b268627-d838-479c-98c9-78f3182007ea","","Chaffee_County_SAR_North","Rocky Mountain Region","A3C08CC8-BFE0-4973-9893-E0FCD651A4F1","002-2018","RESCUE","1/8/2018 8:15:00 PM",1,"YES",12,21,59,"","WILDERNESS","BLM",1,"BIKING",28,"MALE","UNKNOWN","UNKNOWN",0,-106.12017,38.8449800000001
"2680",2580,"fe8c77bf-e960-44be-8b08-75e0af258d97","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","cbeac287-b8ff-428b-aea3-da8fd9722e7c","22P000018 Benedict Hut Fabi Diabetic Female","RESCUE","1/1/2022 5:15:00 PM",1,"YES",18,78,50,"","WILDERNESS","NATIONAL_FOREST",1,"CAMPING",28,"FEMALE","UNKNOWN","UNKNOWN",0,-106.75569,39.17469
"2695",1252,"b0045ad5-554b-44eb-8321-15f68455ce0e","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","1f8d2ec1-8513-4231-a94b-45da73278e4d","20210922_Deer Creek_Search","SEARCH","9/22/2021 10:30:00 PM",1,"YES",9,9,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",49,"MALE","POOR","POOR",1,-105.56707,39.51047
"2768",6293,"0d22641e-62b1-4395-af9f-c32d1a98f119","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","28ce7e60-2371-4a9f-b766-7845ed6bfd56","Meridian Trail","SEARCH","11/20/2019 7:28:00 PM",1,"YES",5,9,146,"","RURAL","NATIONAL_FOREST",1,"HIKING",63,"FEMALE","FAIR","GOOD",1,-105.54,39.52
"2772",22480,"d2732d36-a328-4680-889e-56f37abcd7a2","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","6ece8366-fb61-4c38-8a5a-0560acae2ed8","2022090","RESCUE","7/12/2022 2:26:00 PM",1,"YES",14,14,84,"","WILDERNESS","CITY",1,"HIKING",45,"FEMALE","","",0,-105.297166735237,40.0285644261328
"2779",22474,"9076fc73-cbf7-47aa-8bff-4bf139311fe9","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","b73fcb7f-adbc-4052-8978-3b0d4e890de8","2022084","RESCUE","7/4/2022 6:33:00 PM",1,"YES",14,22,84,"","WILDERNESS","CITY",1,"HIKING",23,"FEMALE","","",0,-105.304092869466,40.0311895573969
"2821",10901,"18a516c3-e5b1-4a5a-9a15-d33a2c41d42b","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","f64d736c-0569-4559-b22f-6624b2406392","21P005806 Thompson Creek Lost Hiker","SEARCH","5/15/2021 10:00:00 PM",1,"YES",23,96,200,"AIRCRAFT-UAV","WILDERNESS","BLM",1,"HIKING",33,"MALE","GOOD","POOR",1,-107.25986,39.31332
"2852",7349,"6c5d2b5b-19f0-466e-9ace-5524fb9ae7df","","Chaffee_County_SAR_North","Rocky Mountain Region","69BCD25D-192E-49A2-8FB4-FC3E2CA31EB4","001 Lost Lake","RESCUE","1/17/2019 11:00:00 PM",1,"YES",21,33,317,"","WILDERNESS","NATIONAL_FOREST",1,"SNOWMOBILING",28,"MALE","UNKNOWN","UNKNOWN",0,-106.41276,38.8077000000001
"2882",4106,"5e5fb9ed-6fde-409b-ad3e-f2366e8898e3","","Fremont_SAR","Rocky Mountain Region","7D7D6379-4745-41A7-8024-793FF78D64C1","2018-08","RECOVERY","3/15/2018 4:00:00 PM",1,"YES",1,2,10,"","WILDERNESS","CITY",1,"OTHER",30,"MALE","UNKNOWN","UNKNOWN",0,-105.32523,38.4612000000001
"2885",1106,"155cddb2-194d-4cb2-8095-4f79604f6593","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","958653b0-3d1f-41f9-a0a3-3b55335757f7","21P007682 Snowmass Creek Overdue Biker","SEARCH","6/20/2021 11:30:00 AM",1,"YES",27,140,100,"","RURAL","COUNTY",1,"BIKING",69,"MALE","GOOD","GOOD",0,-106.98418,39.3256
"2916",20831,"7316b594-a8cb-4652-88c0-2a667550786a","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","31138a83-2390-4388-9b93-2ea5f346c7be","Citadel Injured Climber","RESCUE","11/4/2021 8:35:00 PM",1,"YES",11,55,880,"","WILDERNESS","NATIONAL_FOREST",1,"CLIMBING",59,"MALE","UNKNOWN","UNKNOWN",0,-105.379,40.692
"2941",7134,"dc8ba31f-f495-43b2-b47f-f63ce2ddf84e","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","98D96223-7366-4DC0-B588-128D432E7173","00929","MEDICAL_AID","3/18/2019 2:15:00 PM",1,"YES",7,42,120,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",65,"MALE","EXCELLENT","EXCELLENT",0,-106.82290546,39.6525056900001
"2991",8729,"340a2256-cc42-46e1-bce6-7a6aeed2f59b","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","dcd40365-cf79-47f5-a483-6367eb3e1aeb","Guffey","SEARCH","1/27/2021 2:15:00 AM",0,"YES",1,1,0,"","WILDERNESS","PRIVATE",1,"HUNTING",50,"MALE","GOOD","GOOD",1,-105.52134,38.7516900000001
"3054",8142,"2ce59207-d80b-4484-aec6-2eaac4934bec","2.2.0-MRA","Larimer_County_SAR","Rocky Mountain Region","f6e56648-d72c-4afd-8f7f-486bb502780b","Denny search","SEARCH","9/30/2020 2:00:00 AM",6,"YES",52,2200,4500,"AIRCRAFT-UAV,AIRCRAFT-HELICOPTER","RURAL","COUNTY",1,"RUNAWAY",12,"MALE","GOOD","GOOD",1,-105.268041019,40.96369199
"3100",7624,"7f9d06e3-520a-47fe-80d8-547a7fa5553c","2.1.0-MRA","Fremont_SAR","Rocky Mountain Region","09285faf-f9b9-4f04-8653-e7f8c523a4c7","2019-24","SEARCH","6/23/2019 1:00:00 PM",2,"YES",19,124,285,"","WILDERNESS","BLM",1,"DIMINISHED_CAPACITY:_OTHER",21,"MALE","FAIR","UNKNOWN",1,-105.32190923,38.406425213
"3177",6001,"4a93f120-59d5-44c5-a8c0-2aa18e31f83f","","Larimer_County_SAR","Rocky Mountain Region","67467E30-CE14-4951-AAF1-DB943B462C3B","2019.8.13 Michigan Ditch Missing 70 yoa","SEARCH","8/14/2019 1:05:00 AM",1,"YES",10,20,200,"","WILDERNESS","STATE",1,"HIKING",70,"MALE","UNKNOWN","UNKNOWN",1,-105.892270577,40.521130815
"3181",21166,"83dcc83e-4374-41e8-82cb-9d841527eaa9","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","c18de30a-6f4e-4a1b-ab1d-fbbfdbbd1cf5","2022-19","SEARCH","5/19/2022 9:00:00 PM",1,"YES",6,12,50,"","WILDERNESS","OTHER",1,"CHILD_AGE_0-15",4,"FEMALE","UNKNOWN","UNKNOWN",1,-105.38111,38.4333300000001
"3184",10755,"cf1b5872-f884-4fbf-878b-7e84129e85de","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","ea36a6f9-51ad-4bd4-ae0b-071c9c30348c","013121 Decalibron Delayed Hiker","SEND_ACTIVATION","1/31/2021 10:19:00 PM",1,"YES",1,0,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",19,"MALE","UNKNOWN","UNKNOWN",1,-106.1217,39.3156000000001
"3190",9593,"b1fb49ed-da59-4ef3-98c4-f8bec3ce1b99","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","def7c82d-ef36-4397-87d3-fbc4f8d9957e","Stuck on Georgia Pass","RESCUE","11/2/2020 1:00:00 AM",1,"YES",1,3,57,"","WILDERNESS","NATIONAL_FOREST",2,"FOUR_WHEEL_DRIVING",28,"MALE","FAIR","FAIR",2,-105.9165,39.4578000000001
"3201",7435,"8541cce3-dc9f-4a0e-95ad-d6b157a84d33","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","4e3e7dc2-7337-4ae6-bfac-c83957b46227","2019.06.19 GREYROCK 34YOM INJURED ANKLE","RESCUE","6/19/2019 6:44:00 PM",1,"YES",10,5,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",34,"MALE","UNKNOWN","",1,-105.283681633,40.6949314600001
"3205",20834,"8f87fdc5-9ec2-48e6-87a9-826dd826dcc2","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","4345087b-1d87-42a3-91c7-7ca19b55907d","Parachute Hill Injured Dirt Biker Carryout","MINE_SEARCH/RESCUE","11/22/2021 11:34:00 PM",1,"YES",16,96,1728,"","WILDERNESS","NATIONAL_FOREST",1,"OHV/ATV",41,"MALE","UNKNOWN","UNKNOWN",0,-105.4794,40.2641
"3253",2076,"9898e576-daad-4020-826a-a9e056ebf67c","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","3fb80d66-a7f1-4cd4-8819-7f5b14bac9b8","01082021_1","SEARCH","1/8/2021 12:00:00 PM",1,"YES",13,91,1560,"","RURAL","PRIVATE",1,"RUNAWAY",17,"MALE","GOOD","FAIR",1,-105.841105678921,38.4520852367383
"3254",8740,"7e21f9c5-f005-441f-8483-8d0dd3428d98","2.2.0-MRA","Fremont_SAR","Rocky Mountain Region","95875de6-d1b2-464f-9a85-dffa7f4b4b5b","05062020_1","SEARCH","2/6/2020 7:00:00 PM",1,"YES",9,18,100,"","SUBURBAN","PRIVATE",1,"CHILD_AGE_0-15",3,"MALE","UNKNOWN","UNKNOWN",1,-105.243009479,38.4278792490001
"3261",7578,"9eccb51a-d947-4d67-be58-4d14e0ee83a1","2.1.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","d49c3d81-c6f9-4c4d-8b3f-5462201c3435","2 elk ","SEARCH","12/31/2019 3:45:00 AM",1,"YES",6,25,50,"","WILDERNESS","NATIONAL_FOREST",2,"SNOW_SKIING",25,"MALE","GOOD","GOOD",2,-106.385899851,39.571583128
"3265",7529,"91f37629-1c20-437d-a047-9c0fa41b7c49","2.1.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","9e2f7be1-39ed-4c71-9dca-d096b9cfb64f","#01288","RESCUE","12/25/2019 9:30:00 PM",1,"YES",7,54,80,"","OTHER","NATIONAL_FOREST",1,"SNOWMOBILING",51,"MALE","FAIR","FAIR",10,-106.566774983,39.729487211
"3271",9072,"4dc8bb70-86e8-4b79-ba17-06b1b4315a89","2.2.0-MRA","Douglas_County_SAR_CO","Rocky Mountain Region","4c05a6ab-c39f-4247-a1bc-8a234af36ac1","2020-022","SEARCH","4/8/2020 2:30:00 AM",1,"YES",16,10,12,"","SUBURBAN","COUNTY",1,"CHILD_AGE_0-15",14,"MALE","","",1,-104.9142636,39.5435209
"3323",1149,"2a4a8f32-0def-420f-8db8-ddf9558cb6da","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","3e69498d-6ebb-4b62-8e07-19575aa1229d","20210729_LCW Loop_Overdue","SEARCH","7/29/2021 6:30:00 PM",1,"YES",8,6,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",27,"MALE","GOOD","GOOD",1,-105.50407,39.28325
"3339",5136,"c3020b7c-7b82-484c-a925-49b2a638d464","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","658A022E-0DF3-4B11-9A8C-D44FDD2889FC","00363","RESCUE","1/29/2018 12:30:00 AM",1,"YES",7,45,25,"","WILDERNESS","NATIONAL_FOREST",3,"SNOWMOBILING",25,"MALE","GOOD","FAIR",3,-106.51438,39.6959400000001
"3355",8537,"0cd422c6-8c08-49d2-b0f9-6011847e9600","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","ebef7d22-1df0-4f76-b654-89496c086445","20P015839 Capitol Peak Asthma Attack","RESCUE","9/6/2020 12:15:00 AM",1,"YES",13,103,50,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",2,"CLIMBING",26,"MALE","FAIR","POOR",2,-107.07584,39.1540400000001
"3395",4495,"fb0701b2-c61e-4445-bd25-b06d8ccfe30e","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","F0554911-F668-4CF6-B5D3-B32719C60461","00385","SEARCH","2/6/2018 2:00:00 AM",1,"YES",5,37,0,"","WILDERNESS","NATIONAL_FOREST",1,"SNOWBOARDING",23,"MALE","UNKNOWN","UNKNOWN",1,-106.33343,39.61909
"3401",6204,"fa85ab51-4f37-448c-a294-a9c64d127778","2.1.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","5500f77c-f675-4e2a-90df-935ce68f5f68","#01290","RESCUE","12/28/2019 12:30:00 AM",1,"YES",10,20,140,"","WILDERNESS","NATIONAL_FOREST",3,"OTHER",49,"MALE","FAIR","FAIR",3,-106.24525484,39.5515657610001
"3420",20811,"151f7e51-5d9c-4c20-844d-457982d62256","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","b67dd54e-4755-490f-9566-707744c667ff","Masonville Residential At Risk Missing Person","SEARCH","7/12/2021 11:15:00 AM",1,"YES",5,8,75,"","RURAL","COUNTY",1,"DIMINISHED_CAPACITY:_OTHER",43,"FEMALE","UNKNOWN","UNKNOWN",1,-105.23997,40.53316
"3473",8766,"d7d16054-206c-4cd5-b5f3-2887cb76b939","2.2.0-MRA","Fremont_SAR","Rocky Mountain Region","e8f8d0de-6281-4c67-8a23-46369a257685","11282020_1","SEARCH","11/29/2020 5:30:00 AM",1,"YES",5,20,10,"","URBAN","PRIVATE",1,"ALZHEIMERS_DEMENTIA",60,"MALE","POOR","POOR",1,-105.23814,38.44064
"3477",1100,"4ff6aad7-eada-4e57-8701-c1d5315077b4","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","7bb6518d-765d-4534-83ee-1a2ce7596825","20210715_Kit Ln_Walkaway","SEARCH","7/15/2021 5:30:00 PM",1,"YES",14,85,415,"","SUBURBAN","PRIVATE",1,"ALZHEIMERS/DEMENTIA",70,"MALE","FAIR","FAIR",0,-105.4161,39.4315
"3487",23456,"8036a43d-4932-4833-8a4a-fd60c04c6d04","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","e1a6213f-4e47-446e-b656-0b297a07e8c1","23P007430 Snowmass Lake","RESCUE","7/26/2023 10:43:00 PM",1,"YES",21563,56,150,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"HIKING",61,"MALE","FAIR","FAIR",0,-107.04634,39.11597
"3489",22663,"7cae2556-5f7d-4ec7-80f7-49e6f03a72ff","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","c818b5a8-f7b2-4615-97a4-4efe3a5b0191","2023009","RESCUE","3/11/2023 6:30:00 PM",1,"YES",11,8,132,"","WILDERNESS","CITY",1,"HIKING",59,"FEMALE","","",0,-105.279512244215,39.9775383274103
"3553",22640,"ea7a497f-c5a2-410c-88a4-0f8e5edec8e7","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","929b9f34-00ec-4c8a-b712-0c4f1fa8fa46","2022165","RESCUE","11/1/2022 10:28:00 PM",1,"YES",16,64,96,"","WILDERNESS","CITY",1,"CLIMBING",49,"MALE","","",0,-105.291810399239,39.9897127072155
"3616",3897,"c4c5ded9-3f29-461c-8bc1-5eb046399cfe","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","7A22B707-AFBC-4585-8EB8-853642DEB947","00813","SEARCH","1/5/2019 11:15:00 PM",1,"YES",8,22,50,"","WILDERNESS","BLM",2,"SNOWMOBILING",25,"MALE","GOOD","FAIR",2,-106.17103,39.3154400000001
"3649",7366,"234e236e-d1ef-49cd-a41e-efda32f81e6e","","West_State_Colorado_U_Mtn_Resc","Rocky Mountain Region","BDD650A2-DD48-4D42-8AC3-AB14A01C6B2F","19-05","RESCUE","4/21/2019 1:06:00 AM",1,"YES",5,23,68,"","RURAL","PRIVATE",3,"OHV/ATV",20,"MALE","","",3,-106.47996,38.75541
"3700",7956,"e2d6a96e-8077-4912-8bef-929330f73be9","2.1.2-MRA","Park_County_SAR","Rocky Mountain Region","adf4b4c8-2f48-47ac-96d0-82ff10c29248","Alpine Assist Bierstadt","RESCUE","7/16/2020 10:00:00 PM",1,"NO",5,25,392,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",37,"FEMALE","GOOD","GOOD",0,-105.6741,39.5957000000001
"3760",7429,"d1919a13-cbc9-4144-b07f-9d108e879b71","","Park_County_SAR","Rocky Mountain Region","986543CA-9A3B-4597-8C9D-55CA80B08595","Spruce Grove","SEARCH","5/8/2019 5:03:00 PM",3,"YES",11,561,866,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",2,"HIKING",48,"MALE","GOOD","POOR",2,-105.463302165,39.136284937
"3762",3599,"3dc8284e-56f5-4aa8-8389-f2b8c00d457b","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","0d7a3f69-9d41-45ba-8880-e1d49800860c","22P010758 - Congo Trail","SEARCH","9/27/2022 1:00:00 AM",1,"YES",11,11,50,"","RURAL","NATIONAL_FOREST",2,"HIKING",9,"MALE","UNKNOWN","UNKNOWN",2,-106.8521,39.16162
"3778",8445,"0ea19edc-e7ef-4a7f-a825-5e1e66d5e954","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","b00dd561-ef9a-4ae6-b7ab-6bef0beb4859","Hwy 9 Runaway Juvi","SEARCH","11/20/2020 8:08:00 PM",1,"YES",8,0,0,"","RURAL","PRIVATE",1,"RUNAWAY",15,"FEMALE","UNKNOWN","UNKNOWN",1,-106.00777,39.2302800000001
"3817",21109,"aea5b729-cb89-4b93-837f-9a4c3218b175","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","eb3a1163-c473-4955-95a0-8a3a325834df","Pearl Beaver Road Missing Mushroom Picker","SEARCH","10/10/2022 10:32:00 PM",1,"YES",11,88,1166,"","WILDERNESS","NATIONAL_FOREST",1,"GATHERING",82,"MALE","UNKNOWN","UNKNOWN",1,-105.70968,40.81454
"3827",8746,"7490fd6f-9287-4368-acc0-92a8a6ab4a85","2.2.0-MRA","Fremont_SAR","Rocky Mountain Region","950fe013-3567-413e-9723-c93676c7518e","05272020_1","SEARCH","5/28/2020 1:00:00 AM",1,"YES",4,17,70,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",27,"MALE","UNKNOWN","UNKNOWN",1,-105.233340924,38.320537589
"3844",1713,"31bd14d9-8a6e-443a-843b-0530eb9c9a1c","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","2076db45-0288-4622-9f9c-4cd10c00387c","20211102","SEARCH","11/2/2021 11:20:00 PM",1,"YES",14,42,188,"","WILDERNESS","NATIONAL_FOREST",1,"HUNTING",63,"MALE","GOOD","GOOD",1,-105.73528,39.53056
"3911",4226,"2df0ee92-18ef-4d27-8695-4d071df021e3","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","F12C7CFB-7A63-4BDB-BA95-DBBEB9887562","00451","SEARCH","3/27/2018 11:08:00 PM",1,"YES",15,18,21,"","WILDERNESS","NATIONAL_FOREST",1,"SNOWBOARDING",24,"MALE","GOOD","FAIR",1,-106.26905,39.4875900000001
"3917",3648,"b4393fd6-ec46-4de5-83f0-9e17f4a0f496","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","6e77fb08-e1f0-4837-9080-5f808ca8cfe0","2022062","RESCUE","6/15/2022 8:33:00 PM",1,"YES",11,33,160,"","WILDERNESS","CITY",1,"HIKING",70,"MALE","","",0,-105.291181,39.9498
"3918",974,"72b0775b-3cc6-462a-b9b0-9ea5e2c43e62","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","ea36a6f9-51ad-4bd4-ae0b-071c9c30348c","013121 Decalibron Delayed Hiker","SEND_ACTIVATION","1/31/2021 10:19:00 PM",1,"YES",1,0,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",19,"MALE","UNKNOWN","UNKNOWN",1,-106.1217,39.3156000000001
"3927",22534,"86660b27-457d-46fe-8afa-9e73eda1d6a4","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","935d000f-05f9-49e4-a9ba-f6f63e2b2f47","2022140","SEARCH","9/12/2022 6:46:00 AM",1,"YES",28,280,812,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",38,"FEMALE","","",0,-105.428609994905,40.0036199996265
